title,company,location,experience,salary,skills,description,posted_date,url,source,scraped_at
Specialist - Data Engineering,LTIMindtree Ltd.,Pune,Pune5 - 7  YearsAs per Industry Standards,As per Industry Standards,"Python, Java, Javascript, React, Sql, Aws, Docker, Machine Learning, Php, C#, .Net, Spring, Hibernate, Rest Api, Microservices, Devops, Jenkins, Git",,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-data-engineering-ltimindtree-pune-5-to-7-yrs-jobid-gGBFCQYeoEVzpSvf__PLUS__uAgZw==&bc=+&sequence=1,TimesJobs,2025-10-30 21:38:50
Specialist - Data Engineering,LTIMindtree Ltd.,Pune,Pune5 - 7  YearsAs per Industry Standards,As per Industry Standards,"Python, Sql",,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-data-engineering-ltimindtree-pune-5-to-7-yrs-jobid-gGBFCQYeoEVzpSvf__PLUS__uAgZw==&bc=+&sequence=1,TimesJobs,2025-10-30 21:38:50
Specialist - Data Engineering,LTIMindtree Ltd.,Pune,Pune5 - 7  YearsAs per Industry Standards,As per Industry Standards,"Python, Sql",,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-data-engineering-ltimindtree-pune-5-to-7-yrs-jobid-gGBFCQYeoEVzpSvf__PLUS__uAgZw==&bc=+&sequence=1,TimesJobs,2025-10-30 21:38:50
Specialist - Data Engineering,LTIMindtree Ltd.,N/A,N/A,N/A,,,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-data-engineering-ltimindtree-pune-5-to-7-yrs-jobid-gGBFCQYeoEVzpSvf__PLUS__uAgZw==&bc=+&sequence=1,TimesJobs,2025-10-30 21:38:50
Specialist - Data Engineering,LTIMindtree Ltd.,N/A,N/A,N/A,,,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-data-engineering-ltimindtree-pune-5-to-7-yrs-jobid-gGBFCQYeoEVzpSvf__PLUS__uAgZw==&bc=+&sequence=1,TimesJobs,2025-10-30 21:38:50
Specialist - Software Engineering,LTIMindtree Ltd.,Bengaluru / Bangalore,Bengaluru / Bangalore5 - 7  YearsAs per Industry Standards,As per Industry Standards,"Java, Spring, Hibernate, Microservices",,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-software-engineering-ltimindtree-bengaluru-bangalore-5-to-7-yrs-jobid-MqCwZJo3RA9zpSvf__PLUS__uAgZw==&bc=+&sequence=2,TimesJobs,2025-10-30 21:38:50
Specialist - Software Engineering,LTIMindtree Ltd.,Bengaluru / Bangalore,Bengaluru / Bangalore5 - 7  YearsAs per Industry Standards,As per Industry Standards,"Java, Spring, Hibernate, Microservices",,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-software-engineering-ltimindtree-bengaluru-bangalore-5-to-7-yrs-jobid-MqCwZJo3RA9zpSvf__PLUS__uAgZw==&bc=+&sequence=2,TimesJobs,2025-10-30 21:38:50
Specialist - Software Engineering,LTIMindtree Ltd.,N/A,N/A,N/A,,,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-software-engineering-ltimindtree-bengaluru-bangalore-5-to-7-yrs-jobid-MqCwZJo3RA9zpSvf__PLUS__uAgZw==&bc=+&sequence=2,TimesJobs,2025-10-30 21:38:50
Specialist - Software Engineering,LTIMindtree Ltd.,N/A,N/A,N/A,,,N/A,https://m.timesjobs.com/mobile/job-detail/specialist-software-engineering-ltimindtree-bengaluru-bangalore-5-to-7-yrs-jobid-MqCwZJo3RA9zpSvf__PLUS__uAgZw==&bc=+&sequence=2,TimesJobs,2025-10-30 21:38:50
SAP Hybris +Spartcus Full stack developer,Best Infosystems Ltd.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida","Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida6 - 11  Years16.00 - 28.00 Lakhs",16.00 - 28.00 Lakhs,,,N/A,https://m.timesjobs.com/mobile/job-detail/sap-hybris-spartcus-full-stack-developer-best-infosystems-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-noida-greater-noida-6-to-11-yrs-jobid-kY2N28E7WBlzpSvf__PLUS__uAgZw==&bc=+&sequence=3,TimesJobs,2025-10-30 21:38:50
SAP Hybris +Spartcus Full stack developer,Best Infosystems Ltd.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida","Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida6 - 11  Years16.00 - 28.00 Lakhs",16.00 - 28.00 Lakhs,,,N/A,https://m.timesjobs.com/mobile/job-detail/sap-hybris-spartcus-full-stack-developer-best-infosystems-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-noida-greater-noida-6-to-11-yrs-jobid-kY2N28E7WBlzpSvf__PLUS__uAgZw==&bc=+&sequence=3,TimesJobs,2025-10-30 21:38:50
SAP Hybris +Spartcus Full stack developer,Best Infosystems Ltd.,N/A,N/A,N/A,,,N/A,https://m.timesjobs.com/mobile/job-detail/sap-hybris-spartcus-full-stack-developer-best-infosystems-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-noida-greater-noida-6-to-11-yrs-jobid-kY2N28E7WBlzpSvf__PLUS__uAgZw==&bc=+&sequence=3,TimesJobs,2025-10-30 21:38:50
SAP Hybris +Spartcus Full stack developer,Best Infosystems Ltd.,N/A,N/A,N/A,,,N/A,https://m.timesjobs.com/mobile/job-detail/sap-hybris-spartcus-full-stack-developer-best-infosystems-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-noida-greater-noida-6-to-11-yrs-jobid-kY2N28E7WBlzpSvf__PLUS__uAgZw==&bc=+&sequence=3,TimesJobs,2025-10-30 21:38:50
Business Analyst,Best Infosystems Ltd.,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida","Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida6 - 11  Years12.00 - 28.00 Lakhs",12.00 - 28.00 Lakhs,,,N/A,https://m.timesjobs.com/mobile/job-detail/business-analyst-best-infosystems-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-mumbai-noida-greater-noida-6-to-11-yrs-jobid-Ledpc0zvkrVzpSvf__PLUS__uAgZw==&bc=+&sequence=4,TimesJobs,2025-10-30 21:38:50
